Name,BR ID,Hit streaks (old to new),No hit streaks (old to new),Avg. hit streak-length,Avg. no-hit streak-length,Current hit streak type,Current hit streak,Strikeout streaks (old to new),No strikeout streaks (old to new),Avg. strikeout streak length,Avg. no strikeout streak length,Current strikeout streak type,Current strikeout streak,Exception Message
Pete Alonso,alonspe01,"[2, 4, 6, 3, 3, 2, 1, 2, 2, 6, 3, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 5, 2, 2, 3, 3, 2, 2, 3, 1, 5, 2, 4, 2, 1]","[1, 3, 1, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 4, 3, 1, 1, 1, 1, 3, 1, 1, 4, 2, 1, 2, 3, 1, 2]",2.388888888888889,1.6756756756756757,dry streak,2,"[1, 2, 2, 3, 5, 5, 3, 2, 1, 6, 2, 1, 2, 1, 1, 1, 4, 1, 8, 4, 2, 1, 3, 1, 2, 3, 2, 3, 2, 4, 3, 4, 10]","[2, 1, 1, 1, 2, 1, 1, 2, 1, 3, 1, 2, 1, 1, 3, 1, 2, 4, 1, 3, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 4, 1]",2.878787878787879,1.65625,strikeout streak,10,
Brandon Marsh,marshbr02,"[1, 2, 5, 1, 4, 5, 2, 1, 1, 1, 1, 1, 5, 3, 1, 2, 1, 4, 2, 1, 1, 2, 4, 5, 10, 1, 3, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 1, 3, 2, 1, 2, 1, 2, 1, 1, 1, 3, 3, 2, 1, 1, 2, 1, 1, 6]",2.3870967741935485,1.7741935483870968,dry streak,6,"[5, 1, 7, 4, 5, 2, 4, 2, 1, 9, 13, 1, 6, 2, 2, 3, 1, 3, 1, 1, 1, 9, 2, 2]","[4, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 3, 2, 1, 5, 2, 3, 1]",3.625,1.826086956521739,strikeout streak,2,
Pavin Smith,smithpa04,"[2, 3, 1, 2, 1, 5, 1, 3, 2, 1, 3, 2, 1]","[2, 2, 1, 4, 2, 1, 3, 5, 3, 2, 3, 14]",2.076923076923077,3.5,hit streak,1,"[1, 1, 4, 1, 2, 2, 4, 2, 1, 2, 3, 2, 3, 1, 3, 3, 1]","[1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 3, 2, 3, 2, 2, 2, 5]",2.1176470588235294,1.8333333333333333,no strikeout streak,5,
Jace Peterson,peterja01,"[1, 2, 3, 1, 1, 1, 4, 4, 2, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 3, 3, 2, 1, 6, 1, 1, 1, 2, 1, 2, 1, 1, 2]","[2, 2, 1, 1, 3, 2, 2, 2, 2, 1, 2, 3, 2, 1, 1, 1, 1, 1, 2, 2, 2, 4, 2, 1, 1, 2, 4, 1, 5, 2, 3, 1, 1, 3, 1]",1.8235294117647058,1.9142857142857144,dry streak,1,"[2, 1, 3, 2, 3, 11, 4, 2, 7, 1, 1, 1, 2, 7, 1, 3, 1, 6, 3, 3, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1]","[1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 5, 1, 2, 1, 2, 2, 3, 1, 1, 3, 3, 2, 1]",2.6,1.7,no strikeout streak,1,
Brandon Dixon,dixonbr01,"[1, 1, 3, 1, 1, 1, 3, 1]","[3, 2, 3, 2, 2, 3, 4, 2]",1.5,2.625,dry streak,2,"[2, 1, 1, 1, 6, 1, 1, 5, 2]","[1, 1, 4, 1, 1, 2, 2, 1]",2.2222222222222223,1.625,strikeout streak,2,
Eric Hosmer,hosmeer01,"[2, 1, 2, 1, 1, 1, 6, 1, 1]","[2, 1, 1, 1, 3, 1, 2, 1, 1, 2]",1.7777777777777777,1.5,dry streak,2,"[2, 1, 4, 5, 2, 2, 2]","[1, 2, 1, 5, 1, 1, 1, 1]",2.5714285714285716,1.625,no strikeout streak,1,
Riley Adams,adamsri03,"[1, 2, 1, 2, 1, 3, 1, 4, 5, 1, 2]","[1, 1, 1, 1, 2, 4, 1, 1, 3, 4, 2]",2.090909090909091,1.9090909090909092,dry streak,2,"[6, 1, 1, 3, 1, 2, 1, 10, 2]","[1, 2, 1, 1, 3, 1, 2, 2, 4]",3.0,1.8888888888888888,strikeout streak,2,
Rowdy Tellez,tellero01,"[3, 1, 1, 5, 3, 7, 1, 5, 6, 1, 2, 1, 3, 1, 2, 2, 1, 3, 1, 1, 2, 1]","[2, 1, 1, 1, 1, 2, 2, 1, 4, 3, 1, 5, 1, 4, 1, 2, 2, 2, 1, 4, 4, 2]",2.409090909090909,2.1363636363636362,hit streak,1,"[2, 1, 1, 5, 1, 4, 4, 5, 4, 3, 1, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 3, 2, 1]","[2, 2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 3, 1, 2, 1]",2.111111111111111,1.5925925925925926,no strikeout streak,1,
Cavan Biggio,biggica01,"[1, 1, 1, 1, 1, 1, 4, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 4, 1, 1, 2, 1, 1, 4, 3, 2]","[2, 1, 4, 3, 2, 1, 8, 1, 3, 2, 5, 1, 2, 2, 3, 1, 3, 1, 1, 1, 4, 2, 1, 1, 2, 2, 1]",1.7307692307692308,2.2222222222222223,dry streak,1,"[6, 1, 1, 4, 1, 2, 1, 1, 3, 3, 2, 1, 1, 3, 1, 1, 2, 3, 6, 3, 2, 2, 3, 3, 1, 3, 1]","[2, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 7, 2, 1, 2, 1, 2, 3, 1, 1, 1]",2.259259259259259,1.6296296296296295,strikeout streak,1,
Miguel Cabrera,cabremi01,"[2, 5, 1, 1, 2, 1, 1, 2, 4, 2, 1, 1, 2, 4, 2, 1, 3, 5, 2, 3, 1, 3, 3, 6, 1]","[2, 3, 1, 1, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1]",2.36,1.36,dry streak,1,"[2, 3, 1, 2, 3, 2, 3, 1, 2, 1, 1, 2, 4, 1, 2, 1, 2, 1, 2, 1, 8, 1, 1, 1, 1, 1]","[2, 1, 1, 2, 1, 1, 2, 3, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 3, 2, 3, 3, 1, 3, 1, 1]",1.9230769230769231,1.6538461538461537,strikeout streak,1,
Tom Murphy,murphto04,"[1, 1, 2, 3, 1, 1, 1, 2, 5, 1, 2, 9]","[3, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2]",2.4166666666666665,1.3846153846153846,dry streak,2,"[5, 1, 1, 2, 2, 2, 2, 2, 1, 4, 1, 2, 1]","[1, 1, 1, 1, 1, 2, 1, 1, 3, 3, 3, 1, 2]",2.0,1.6153846153846154,strikeout streak,1,
Kyle Farmer,farmeky01,"[1, 3, 7, 3, 1, 2, 3, 1, 1, 2, 1, 1, 3, 1, 2, 3, 2, 3, 2, 1, 2, 3, 1, 3, 2, 6]","[3, 4, 1, 4, 1, 1, 5, 1, 1, 1, 1, 4, 3, 2, 1, 1, 2, 5, 2, 1, 1, 1, 3, 3, 3]",2.3076923076923075,2.2,hit streak,6,"[1, 2, 4, 1, 3, 1, 3, 1, 3, 1, 1, 1, 2, 2, 4, 1, 1, 4, 4, 1, 1, 1, 2, 2, 2, 2, 1, 4, 4, 2, 1]","[1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 2, 1, 1, 3, 1, 1, 4, 1, 4, 3, 1, 1, 2, 1, 1]",2.032258064516129,1.625,no strikeout streak,1,
Jose Miranda,miranjo01,"[3, 2, 1, 4, 5, 1, 2, 1, 1, 1]","[1, 2, 1, 1, 2, 2, 1, 4, 1, 4]",2.1,1.9,hit streak,1,"[2, 2, 2, 1, 1, 1, 2, 1, 1, 3, 2, 1]","[1, 2, 1, 1, 2, 1, 1, 3, 1, 2, 2, 1, 3]",1.5833333333333333,1.6153846153846154,no strikeout streak,3,
Anthony Santander,santaan02,"[3, 1, 2, 5, 3, 2, 9, 2, 4, 2, 3, 1, 3, 1, 2, 2, 4, 4, 8, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 9, 7, 2, 2, 2]","[3, 1, 2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 5, 1, 1]",2.742857142857143,1.4857142857142858,dry streak,1,"[7, 6, 1, 1, 1, 1, 2, 3, 4, 3, 3, 3, 2, 2, 1, 1, 1, 3, 1, 4, 5, 8, 2, 4, 4, 2, 1, 3, 1, 1, 16]","[1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 3, 1, 1, 1, 5, 3, 2, 1, 1, 2, 1, 2, 4, 2, 1]",3.129032258064516,1.7,strikeout streak,16,
Matt Vierling,vierlma01,"[4, 1, 1, 1, 1, 2, 5, 1, 1, 8, 1, 3, 2, 2, 5, 2, 2, 2, 1, 3, 7, 4, 3, 3, 7, 1, 1, 1, 2]","[2, 1, 2, 2, 2, 1, 1, 1, 2, 4, 3, 1, 2, 1, 1, 1, 4, 1, 1, 2, 1, 2, 2, 3, 1, 1, 2, 3, 1]",2.6551724137931036,1.7586206896551724,hit streak,2,"[5, 1, 1, 1, 3, 4, 2, 2, 2, 1, 3, 1, 3, 2, 1, 1, 1, 1, 2, 1, 4, 3, 1, 3, 1, 2, 9, 4, 4, 13]","[1, 1, 1, 1, 1, 2, 3, 1, 1, 5, 1, 1, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1]",2.7333333333333334,1.5333333333333334,no strikeout streak,1,
Rafael Devers,deverra01,"[4, 3, 3, 2, 1, 1, 1, 1, 1, 4, 5, 2, 1, 1, 3, 1, 1, 3, 1, 2, 4, 3, 3, 1, 5, 5, 2, 1, 3, 3, 6, 2, 1, 3, 2, 3, 2, 3, 1]","[2, 2, 1, 1, 1, 1, 3, 1, 1, 2, 1, 2, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2]",2.41025641025641,1.3846153846153846,dry streak,2,"[4, 2, 4, 2, 4, 3, 1, 5, 1, 5, 1, 5, 3, 3, 2, 3, 1, 1, 3, 1, 6, 2, 4, 1, 1, 1, 1, 2, 3, 3, 7, 1, 1, 1, 2, 1]","[1, 1, 4, 1, 2, 2, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 3, 2, 2, 1, 1, 1, 1, 4, 2, 2, 1, 1, 2, 2, 1, 2, 1]",2.5277777777777777,1.5833333333333333,no strikeout streak,1,
Christian Vazquez,vazquch01,"[2, 4, 1, 2, 1, 1, 1, 3, 1, 3, 3, 3, 1, 2, 1, 3, 1, 1, 5, 1, 1, 2, 2]","[3, 1, 1, 3, 1, 2, 4, 2, 2, 7, 1, 3, 3, 2, 1, 2, 2, 1, 4, 2, 1, 4]",1.9565217391304348,2.3636363636363638,hit streak,2,"[1, 2, 2, 4, 1, 4, 2, 1, 1, 3, 1, 2, 2, 1, 2, 3, 2, 5, 1, 1, 8, 4, 7]","[2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 5, 1, 2, 2]",2.608695652173913,1.608695652173913,no strikeout streak,2,
Darin Ruf,rufda01,"[2, 3, 3, 1]","[3, 4, 1, 3]",2.25,2.75,dry streak,3,"[4, 1, 2, 1, 1, 3]","[1, 1, 1, 2, 3]",2.0,1.6,strikeout streak,3,
Rafael Ortega,ortegra01,"[3, 2, 2, 1, 1, 1, 4, 1, 1]","[3, 1, 2, 1, 1, 2, 3, 4, 7, 1]",1.7777777777777777,2.5,dry streak,1,"[2, 3, 2, 2, 1, 4, 3, 1, 3, 1, 1]","[1, 1, 1, 4, 1, 2, 2, 1, 4, 1]",2.090909090909091,1.8,strikeout streak,1,
